beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
2e-06,-0.4999999898475923,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
2e-06,-0.4999999839375629,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
2e-06,-0.4999982251625363,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
2e-06,-0.495,avoided,8,9,"|5,2>","|3,1>",2.2482709027826786e-09,2.2482709027826786e-06
2e-06,-0.4121463765374441,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
2e-06,-0.4112596801069452,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
2e-06,-0.3992956465313998,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
2e-06,-0.3972503593815271,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
2e-06,-0.39170979770038505,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
2e-06,-0.37710017968307913,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
2e-06,-0.3118165883334573,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
2e-06,-0.3048369652841478,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
2e-06,-0.24815890709363722,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
2e-06,-0.24815890604889887,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
2e-06,-0.1916704744660552,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
2e-06,-0.17494680338106408,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
2e-06,-0.059187034869293796,crossing,3,6,"|2,1>","|4,0>",0.0,0.0
2e-06,0.05918703523132455,crossing,3,6,"|2,1>","|4,0>",0.0,0.0
2e-06,0.17494680333565982,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
2e-06,0.19167047448616928,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
2e-06,0.24815890625163642,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
2e-06,0.24815890644638444,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
2e-06,0.30483696536372923,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
2e-06,0.3118165883321282,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
2e-06,0.37710017955672226,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
2e-06,0.3917097977186144,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
2e-06,0.3972503591725064,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
2e-06,0.39929564756319713,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
2e-06,0.4112596803602538,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
2e-06,0.4121463761891784,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
2e-06,0.495,avoided,8,9,"|5,2>","|3,1>",3.6925484891980886e-09,3.6925484891980886e-06
2e-06,0.4999999278845887,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
2e-06,0.49999998477749885,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
2e-06,0.49999998614894775,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4999618850328781,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.4999618308377703,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4121154279253145,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.005,-0.41126918781296,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.005,-0.3991329850642989,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,-0.3971396376991031,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,-0.391635101618871,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.37701679761008733,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.3116739236717275,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.304689116262638,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,-0.24794850225255516,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.24794827135599107,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.1913675552934149,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.1745972620306295,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,-0.058027793139187024,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.05802779313833442,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.17459726203043036,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,0.19136755529341204,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.24794827135566372,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.24794850225220164,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,0.30468911626286577,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,0.31167392367167096,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.37701679761052315,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.3916351016189087,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.3971396377003574,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,0.39913298506830264,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,0.4112691878133016,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.005,0.41211542792410566,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.005,0.4999618308386898,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.4999618850361532,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49992367520178393,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4999234584216061,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.41213884494313585,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.01,-0.41137636824420115,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.01,-0.39890550440780137,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,-0.3970571724146475,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.01,-0.39160415558125466,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.37698353270058976,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.3116137886982718,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,-0.30462841792682355,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,-0.24786301483071652,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,-0.24786226395352196,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,-0.19124805711740436,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,-0.17445223134667381,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,-0.057544759074674844,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.05754475907502297,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.1744522313464872,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,0.19124805711712414,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,0.2478622639529541,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,0.24786301483067927,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,0.30462841792661965,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,0.3116137886982049,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,0.3769835327007614,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,0.391604155581345,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,0.3970571724141576,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.01,0.398905504407509,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,0.41137636824409884,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.01,0.4121388449428442,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.01,0.4999234584243924,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,0.4999236752013298,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.015,-0.4998853860889719,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.015,-0.4998848983408914,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.015,-0.41218367622355534,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.015,-0.4115214952553855,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.015,-0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0013685895492869804,1.3685895492869804
0.015,-0.39867343756604195,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.015,-0.39698337641390674,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.015,-0.3915804994444788,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.015,-0.3769585158558769,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.015,-0.31156747125887874,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.015,-0.30458193747653184,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.015,-0.24779808182450258,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.015,-0.2477966814445293,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.015,-0.19116433595726456,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.015,-0.17434118510451085,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.015,-0.057178848099402706,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.015,0.05717884809995984,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.015,0.17434118510428578,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.015,0.1911643359571901,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.015,0.24779668144413075,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.015,0.24779808182421853,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.015,0.304581937476486,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.015,0.3115674712588844,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.015,0.37695851585584805,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.015,0.3915804994444561,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.015,0.3969833764143175,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.015,0.39867343756810814,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.015,0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0013685895517880908,1.3685895517880908
0.015,0.4115214952551683,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.015,0.4121836762238106,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.015,0.49988489834122024,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.015,0.4998853860891335,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.02,-0.4998470233825668,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.02,-0.49984615628025564,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.02,-0.4122274820669456,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.02,-0.41166315576692963,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.02,-0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0010641416013470462,1.0641416013470462
0.02,-0.398474116617339,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.02,-0.39693326833831066,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.02,-0.39156113423800637,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.02,-0.37693846553647536,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.02,-0.311529003552772,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.02,-0.30454416853679156,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.02,-0.24774543894726694,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.02,-0.24774336084620568,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.02,-0.19110517703667906,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.02,-0.17424991302740891,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.02,-0.05688512834666336,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.02,0.05688512834676196,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.02,0.17424991302723172,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.02,0.19110517703658655,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.02,0.24774336084578413,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.02,0.2477454389470705,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.02,0.3045441685368088,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.02,0.3115290035527314,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.02,0.3769384655365872,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.02,0.39156113423797284,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.02,0.39693326833879217,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.02,0.3984741166183567,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.02,0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0010641416021144323,1.0641416021144323
0.02,0.4116631557658923,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.02,0.4122274820665445,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.02,0.49984615628070744,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.02,0.49984702338218295,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.025,-0.49980858934356714,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.025,-0.4998072344893296,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.025,-0.4122716958464984,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.025,-0.4117931446244084,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.025,-0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0007330906936999781,0.7330906936999781
0.025,-0.4,avoided,6,9,"|4,1>","|3,1>",0.004629959515995097,4.629959515995097
0.025,-0.39837578609733754,crossing,8,9,"|2,1>","|3,1>",0.0,0.0
0.025,-0.395,avoided,6,8,"|4,1>","|3,1>",0.005039461956044988,5.039461956044988
0.025,-0.39154423186300286,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.025,-0.3769211697905271,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.025,-0.3114951484514987,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.025,-0.3045111163614724,crossing,6,8,"|6,0>","|0,2>",0.0,0.0
0.025,-0.24769976623542383,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.025,-0.24769707073582753,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.025,-0.19106358902605078,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.025,-0.1741699767562335,crossing,4,6,"|0,2>","|4,0>",0.0,0.0
0.025,-0.05663976521122605,crossing,4,9,"|4,0>","|2,1>",0.0,0.0
0.025,0.05663976521169375,crossing,4,9,"|4,0>","|2,1>",0.0,0.0
0.025,0.17416997675614115,crossing,4,6,"|0,2>","|4,0>",0.0,0.0
0.025,0.1910635890259325,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.025,0.24769707073560535,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.025,0.24769976623527976,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.025,0.30451111636150896,crossing,6,8,"|6,0>","|0,2>",0.0,0.0
0.025,0.31149514845149995,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.025,0.376921169790599,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.025,0.3915442318629763,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.025,0.395,avoided,6,8,"|4,1>","|3,1>",0.005039461954879698,5.039461954879698
0.025,0.3983757860952399,crossing,8,9,"|2,1>","|3,1>",0.0,0.0
0.025,0.4,avoided,6,9,"|4,1>","|3,1>",0.004629959511902371,4.629959511902371
0.025,0.41000000000000003,avoided,8,9,"|2,1>","|3,1>",0.0007330906926199532,0.7330906926199532
0.025,0.41179314462439076,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.025,0.4122716958461461,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.025,0.4998072344894321,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.025,0.49980858934412503,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.03,-0.4997700877859964,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.03,-0.49976813680184295,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.03,-0.4102763743007584,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.03,-0.41000000000000003,avoided,6,9,"|3,1>","|6,1>",0.005236063517997991,5.236063517997991
0.03,-0.4,avoided,6,9,"|3,1>","|4,1>",0.005447186373828572,5.447186373828572
0.03,-0.39866193418014517,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.03,-0.395,avoided,8,9,"|3,1>","|4,1>",0.005274124770693334,5.274124770693334
0.03,-0.39152938513909474,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.03,-0.37690624218606855,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.03,-0.3114649785941817,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.03,-0.30448221376412,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.03,-0.24766006752373634,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.03,-0.2476568691537113,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.03,-0.1910379156423817,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.03,-0.17409937679510162,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.03,-0.056439296324344246,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.03,0.056439296324707566,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.03,0.17409937679495133,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.03,0.19103791564217723,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.03,0.24765686915342386,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.03,0.24766006752349468,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.03,0.30448221376408247,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.03,0.31146497859416217,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.03,0.37690624218617486,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.03,0.39152938513912544,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.03,0.395,avoided,8,9,"|3,1>","|4,1>",0.0052741247695280435,5.2741247695280435
0.03,0.39866193417957646,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.03,0.4,avoided,6,9,"|3,1>","|4,1>",0.0054471863743685844,5.447186374368584
0.03,0.41000000000000003,avoided,6,9,"|3,1>","|6,1>",0.005236063512882083,5.236063512882083
0.03,0.4102763743024288,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.03,0.4997681368017773,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.03,0.499770087786021,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.034999999999999996,-0.4997315213809928,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.034999999999999996,-0.4997288659093223,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.034999999999999996,-0.41001609170776,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.034999999999999996,-0.41000000000000003,avoided,6,9,"|3,1>","|6,1>",0.005949109800383212,5.949109800383212
0.034999999999999996,-0.4,avoided,6,9,"|3,1>","|4,1>",0.006274622135777008,6.274622135777008
0.034999999999999996,-0.3989800631481602,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.034999999999999996,-0.395,avoided,8,9,"|3,1>","|4,1>",0.005539752401517717,5.539752401517717
0.034999999999999996,-0.39151597413831896,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.034999999999999996,-0.376892919204472,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.034999999999999996,-0.31143741879179687,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.034999999999999996,-0.30445606679941406,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.034999999999999996,-0.2476245472500468,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.034999999999999996,-0.2476210154442784,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.034999999999999996,-0.19102519907179483,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.034999999999999996,-0.17403526186431945,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.034999999999999996,-0.05627868763626394,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.034999999999999996,0.0562786876357225,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.034999999999999996,0.1740352618641817,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.034999999999999996,0.1910251990716473,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.034999999999999996,0.24762101544393605,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.034999999999999996,0.24762454724982844,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.034999999999999996,0.30445606679935405,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.034999999999999996,0.31143741879186093,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.034999999999999996,0.3768929192044942,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.034999999999999996,0.391515974138305,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.034999999999999996,0.395,avoided,8,9,"|3,1>","|4,1>",0.005539752401318765,5.539752401318765
0.034999999999999996,0.39898006314798073,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.034999999999999996,0.4,avoided,6,9,"|3,1>","|4,1>",0.006274622136061225,6.274622136061225
0.034999999999999996,0.41000000000000003,avoided,6,9,"|3,1>","|6,1>",0.005949109796773655,5.949109796773655
0.034999999999999996,0.4100160917099482,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.034999999999999996,0.4997288659094235,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.034999999999999996,0.4997315213812209,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.04,-0.49969288969556686,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.04,-0.4996894213500216,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.04,-0.40865299341666605,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.04,-0.4,avoided,6,9,"|3,1>","|4,1>",0.007110308466991455,7.110308466991455
0.04,-0.39932369097033205,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.04,-0.395,avoided,8,9,"|3,1>","|4,1>",0.005832599319006704,5.832599319006704
0.04,-0.3915035658485405,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.04,-0.37688066217096755,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.04,-0.3114117267584144,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.04,-0.30443168577425983,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.04,-0.24759196108467801,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.04,-0.24758831668801368,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.04,-0.19102298651201763,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.04,-0.1739756440501768,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.04,-0.05615568496108242,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.04,0.05615568496103406,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.04,0.1739756440501092,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.04,0.19102298651183433,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.04,0.24758831668778727,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.04,0.24759196108444112,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.04,0.3044316857743631,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.04,0.3114117267583996,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.04,0.37688066217098676,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.04,0.3915035658485105,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.04,0.395,avoided,8,9,"|3,1>","|4,1>",0.005832599318466691,5.832599318466691
0.04,0.3993236909685345,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.04,0.4,avoided,6,9,"|3,1>","|4,1>",0.007110308463381898,7.110308463381898
0.04,0.4086529934174661,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.04,0.49968942135103944,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.04,0.4996928896959907,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.045000000000000005,-0.49965419453782034,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.045000000000000005,-0.49964980495181344,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.045000000000000005,-0.4072880868225405,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.045000000000000005,-0.4,avoided,6,9,"|3,1>","|4,1>",0.00794879037871965,7.94879037871965
0.045000000000000005,-0.3996941760646127,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.045000000000000005,-0.395,avoided,8,9,"|3,1>","|4,1>",0.006147050049463587,6.147050049463587
0.045000000000000005,-0.3914922795872909,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.045000000000000005,-0.3768696898611206,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.045000000000000005,-0.31138796851446277,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.045000000000000005,-0.30440955763200706,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.045000000000000005,-0.24756278027826187,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.045000000000000005,-0.24755924647742952,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.045000000000000005,-0.1910304802212695,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.045000000000000005,-0.17392098866421382,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.045000000000000005,-0.056072567965756805,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.045000000000000005,0.05607256796527363,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.045000000000000005,0.17392098866412067,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.045000000000000005,0.1910304802210163,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.045000000000000005,0.24755924647721028,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.045000000000000005,0.24756278027812928,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.045000000000000005,0.30440955763198346,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.045000000000000005,0.31138796851443856,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.045000000000000005,0.37686968986116415,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.045000000000000005,0.3914922795872053,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.045000000000000005,0.395,avoided,8,9,"|3,1>","|4,1>",0.006147050047530911,6.147050047530911
0.045000000000000005,0.3996941760640982,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.045000000000000005,0.4,avoided,6,9,"|3,1>","|4,1>",0.007948790377781734,7.948790377781734
0.045000000000000005,0.40728808682668816,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.045000000000000005,0.4996498049517634,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
